Game,Reviewer,Completeness,Aesthetics,Fun,Innovation,Scope,Roguelike,Full Review
Hellmouth,Anonymous,"1 - If you get the 7drl release tag instead of trunk, it works fine -- but it's clearly missing loads of intended features","2 - There's a lot of talk about doing hex in a roguelike without custom rendering, and in principle we seem to agree it's easy, but it's rarely actually done; it works pretty well and it does its job.",1 - Attacking enemies with no objective is not terribly gripping,"1 - The missing limb system, the missing ""life path"" system, or some content to take advantage of the hex layout (even some fov or interesting monsters), would separately deserve a 2 and jointly a 3, but here we have a single simple novelty with no supporting features",1 - A bit of all-vs-all combat,3 - Nothing to disqualify it; everything that's missing counts against completeness and scope,"There's clearly such a large amount of planned content missing (lifepath.py? A limb display?) that it doesn't hurt to call this one a marginal success as an entrant, but nothing worth looking at until its post-7DRL release."
Mujahid,Anonymous,3 - Polished.,"3 - Good controls, fine looks.",3 - This one is actually good sneak-em-up game. Praying seems to be only for flavor.,1 - Sneak mechanics have been done so many times. This actually plays like more forgiving version of Gruesome.,2 - Just right for 7DRL.,3 - Yes.,Yet another sneaking rogue. It is a lie about you being significantly weaker than guards. You can waste a few soldiers reliably. The real problem in face to face combat is no hit point regeneration and healing salves give back only single one. There are some tricks to learn and backstabbing becomes reliable deal.
Beyond the Light,Anonymous,3 It feels feature complete for what it's trying to do.,"2 The graphics are simple, but work well. Pleasing colours and effective use of sound. The keys do what you expect.",2 A short and sweet game.,2 The focus of the game is the darkness mechanic which works well.,2 What you'd expect from a 7DRL,3,"This is a delightfully effective survival horror game where your goal is to escape a house you just woke up in. ""When all candles be out, all cats be gray"" proves true as the house is very dark and you need a source of light to tell its deadly inhabitants from its not so deadly inhabitants and even the tools you need to escape. This is a libtcod game that uses the colour features for good and not for evil. Few but interesting monsters and short but sweet gameplay."
"I rule, you rule, we all rule old-school Hyrule",Anonymous,"2 - Finished and polished, I wanted to give this a 3, but the little things like starting in an unwinnable state and the way that long range enemies can pillar dance you, even when you also have a long range weapon annoys me","3 - Good graphics, simple controls, only improvement I would like to see is more visual feedback or quicker access to the ""look"" information.",3 - An addictive but enjoyable game.,"3 - The ""win"" condition makes the while game feel like a game of capture the flag.","3 - Low 3, but definitely more than i would expect from a 7DRL project.","3 - Another low 3, definitely has all the features of a roguelike (Procedural content, Permadeath, turn-based, inventory management) but it plays differently that most RLs I've played.","Definitely another competitor for best in show, from what I've seen. Try to claim the Hyrulean crown by slaughtering monsters and reclaiming artifacts, but other claimants race against you. This is one title I'll be keeping an eye on, while it is good in it's current state, it will be interesting to see how this one develops."
Warden,Anonymous,2 - The crashing bug (when monsters can't path to you) makes it hard to play through.  Big props on having high scores.,"2 - Looks good enough.  Nothing exceptional. j/k are reversed, which is irritating, but since it has 4-way movement the arrows are serviceable.","2 - It's fun to figure out optimal play, but once you settle into a routine there aren't many decisions to make.","1 - Nothing new here; with a bit more work, the stamina system could qualify for a 2 or a 3, but fighting an enemy is like picking up a health pack right now.","2 - Pretty standard 7DRL, maybe a little short of 2 but it has some nice polish that puts it over.",3 - Clearly.,"A brilliant finish for a project that was, by the author's account, doomed to failure in the middle of the week.  There are many, many entries less deserving of being called 7DRL successes than this.  Congrats to the author for that."
Das Schurke Boot,Anonymous,"2 - Has success and failure, but as author notes the current system renders the depth component less interesting.  I'd also have liked to see some interesting ocean floor fractal rather than just the pillar like islands.","1 - Look is stark. Props for vi-keys, but the h&l are backwards.  When you are killed hitting any key but y will immediately quit the game, for example, accidentally hitting an extra movement key.  Maybe only allow y/n.",1 - The enemies don't seem to pose much threat other than my laziness.  The requirement to move to change my facing feels more frustrating than an interesting tactical component.,3 - Quite a few interesting ideas were tried at once here.  There is the 3d view with the two half planes (though I worry this will prove myopic if it were actually necessary.  The slow torpedos and facing requirments are also interesting to explore.,"1 - If we ignore the depth map, it becomes an @ on map level scope.","2 - It is intended to be a tactical combat game, so I could see this easily moving into the 3 column, but with its level of completion it is hard to say it can overcome the fact the skin is so non-roguelike.","A very interesting take on submarine combat.  It attempts to address some interesting ideas, such as proper diving (with 3d slice viewing), slow torpedos, and facing.  However, it hasn't been developed far enough to really judge if these features are good things or not."
Ruins of Kal Raman,Anonymous,3 - Does appear to achieve all it set out to.,"2 - I love the pixel art look and the ambient music.  But the realm of user interface is very painful.  Targeting is very unclear, so I'm not sure if I'm actually attacking someone or not.  The combat is hearbeat based, but I don't have a good sense of heartbeat from the status messages.  Pop-up menus are dangerous when one is Runaway, which doesn't have a confirmation.  I kept clicking everywhere but myself to try and get going in the game.  Pressing keys to proc the traits didn't give feedback, so I'd never be sure if they actually took or not.","1 - The look and sound makes me want to like it, but I just get increasingly frustrated at my characters behaviour.  I don't feel I have any control in the combat as to what it does.","2 - The trait based leveling system is one I like and wish I could have explored further.  The hybrid turn/realtime is an innovation for roguelikes, but I didn't like it in Neverwinter Nights either.",2 - The feaeture set is quite good for a 7drl.,"1 - Combat in disconnected rooms really makes it DND like (note, not D&D)  While rooms are randomized, I'm not sure about the topology (which is the more interesting part) the starting ruins at least seems to always have the same topology.","Ruins of Kal Raman is really an attempt to resurrect the DND genre of room-based exploration.  It also brings to the table some well-balanced graphics and enjoyable music.  Unfortunately, the control interface leaves the combat hard to understand."
Hope,Anonymous,2 - Missing text in descriptors show up when you shoot various wall types.  A crash due to LASER_VERT6 shows up on occasion.,"2 - I liked the tileset, though it could really do with flipping actors for facing.  The diverse tileset really sells the subworlds (as they are built on a few simple skins)  Shooting weapons really could use an animation.  The wall tiles that extend beyond their square often makes it hard to tell that you can walk between them.  I don't like the harsh LOS on these big tiles, especially the cactuses is ugly.","3 - It took a while to figure out what I was trying to do in the subworlds, when I did things started to come together.  The game play of the subworlds is balanced all over the place, but this actually doesn't seem odd, as you are really being clocked by the overworld which has a tight resource management.","2 - The game-within-a-game is done well, especially as you start on the within game and thus don't really know the top level to begin with.  The mechanics of all the levels are pretty straight forward, however.",3 - Every time I think I've seen all the subworlds I see some more.  It is an impressive job in skinning to get a lot of different feels out of the same code.,"2 - I'm having troubles placing this.  The subgames really are not roguelikish, more just gauntlet action games played turn based.  The overmap has a lot of roguelike qualities in resource management and exploration, but as the combat is so simplistic, I'm not willing to call it a roguelike either.","Ride your motorcycle over the desolate post-apoclyptic desert, looting houses for food, water, and ammo.  And then run out of fuel and die of starvation.  Or, try to figure out the key..."
Bone Builder,Anonymous,2 - It feels like it could use some polish and tightening.,2 - Tiled ascii with non-annoying font and colours. Ok keybindings which might make even more sense to TOME players.,"1 - I didn't find it very fun, but your mileage might vary.","2 - The focus of this game is the necromantic animation of undead compiled from the bodyparts of your slain enemies, which is pretty neat.",2,3,"You play a necromancer whose goal it is to enter the nether (and then what?) with the aid of your animating abilities. I like the concept of constructing undeads from various (sometimes enhanced) body parts. The implementation is both awkward and clever in how it's tacked on the wield/equip interface of TOME. Confusing at first, but when you get it, it works. I'm not really into pouring over stats, so it wasn't obvious to me what separated the different undeads i were making, but that might just be me. I like that your character gets more powers as he progresses through dungeon levels, but the game seems to start too easy and then hit a wall of difficulty a little further into the game."
The Well of Enchantments,Anonymous,"3 - The author wanted to do more, and did indeed do more after the competition ended, but nothing stands out as incomplete here","3 - Controls work nicely and the visuals remind me of Castle of the Wind.  Maybe not as retro as most retro looks, but it works.",2 - A pleasant dungeon crawl with a lot of different environments to see,"1 - There's no gimmick here, just solid, standard roguelike play.  (Which is rare enough in the 7DRLC)","3 - A big game!  Lots of places to go, lots of items, lots of monsters.  I don't feel like I've scratched the surface yet.",3,"(I still need to play a little more and might revise my scores, but I feel like I've got a pretty good handle on it.)"
Mont Asall,Anonymous,2 - A few input errors in the character creation sequence made it very difficult to get through,"3 - As pretty as can be asked, with nice music to boot.","2 - I enjoy the experience, but I don't get the kind of tactical thrill I want from a roguelike.","1 - Since it's not a roguelike, it can't be said to have extended the genre.  The author has, however, added something to the typical RPG formula, since the combat is a bit more tactical than what most such games have.","3 - It's impressive; even if the assets were created before the challenge, it takes time to get everything put together nicely.","1 - It's not a roguelike.  The major point here is that combat and exploration are separate modes; it's too bad, too, because roguelikes need to learn to have stories.","Roguelike developers have a lot to learn from this entry.  It isn't impossible to bootstrap this kind of polish and friendliness onto a pure roguelike -- a few small changes and Mont Asall would do it!-- and we'd get more of that strange beast roguelike developers have such trouble capturing, namely, players."
Kitchen Masters,Anonymous,"2 - Stable, runs fine for me in python. Could use some polish on interface and in-game animation to make it a 3.","2 - Very nice usage of simple colors and simple glyphs. Controls work as expected, although some awkwardness switching between keyboard and mouse for a few things.","3 - Lots of fun! The humor is what makes the game for me. Reading new recipe descriptions is worth playing. Inventive enemy names as well. (die, irate customer!)","2 - Recipes + ingredients are an interesting mechanic, but not super-deep. Other gameplay is crisp standard roguelike fare (in a good way).","2 - Exactly what I'd expect from a 7DRL, a solid effort.",3 - Definitely a roguelike. Definitely.,"Kitchen Master is a solid 7DRL with lots of humor. You play as a chef, forced to use spatulas and rolling pins as weapons, and must combine ingredients to create spell-like recipes. Surprising number of recipes adds some nice depth to the game and the humorous descriptions of just about everything (including level names, class names, enemy names) makes this worth checking out. Ingredients + recipe system may be worth exploration by other games, although some polish would be needed to make it work more intuitively."
Dead Night Forest Chapter 2: The Lost Caravan,Anonymous,"2 - Stable, unity runs fine, no crashes. Hard to call it polished because it is 3D and therefore held to a bit of a higher standard.","2 - 3D is done surprisingly well. Models are not super-detailed but are animated nicely, and effects (flame, blood, power) are slick looking. Controls work as expected, even without any reading.","2 - Fun for a bit, but combat seems to take too long if you don't want to die. Tactically interesting in some situations because HP and XP are tied together.","1 - Nothing new here gameplay-wise, but a good use of Unity. Some more roguelikeish features might've raised this to a 2.",2 - A solid 7DRL. Unity effort is very impressive.,1 - Definitely NOT a roguelike.,"Slice and dice dastardly rogues (hrmmm) who have stolen your gold in this Unity game. Not really a roguelike, but shows the promise of the Unity engine for making decently polished games in only 7 Days. Combat power mechanics surprisingly deep. XP as HP also leads to some tactically interesting situations and intense combat."
"I rule, you rule, we all rule old-school Hyrule",Anonymous,3 - Nicely polished.,3 - Really pretty. Keys simple to master.,3 - Choice of items is nice substitute for class selection. To win one has constantly to do something and thus avoid boredom.,2 - Great competitive AI.,3 - A lot of teritory and abilities.,3 - 100% roguelikeness.,"You and other computer controlled heroes must gain fame to be declared ruler. To gain fame kill big monsters, discover new regions and find lost artifacts. Eliminating the competition is allowed too but might take too long. Choose items you think can exploit most easily and have fun."
SUN CRUSHER!!!,Anonymous,"2 - Stable, runs well with no crashes","2 - Images are a bit ""off"" somehow.. don't really blend with the theme but good enough to get the concept across. Controls do what you'd expect. Having vital game info in the title bar of the window instead of on the game window itself is confusing.",2 - Once i figured out how the rotation worked (was a surprise!) it was fun. A little easy but some interesting puzzle-type decision-making,"2 - Simple but innovative components mesh well together. Crushing suns is cool, action-points-based turns is a good fit (even though for the longest time I couldn't figure out how many moves I had left!), rotating level-scape is very cool. It's not REALLY a roguelike in my opinion so hard to say it is 'innovating' along that axis, hence the 2 and not a 3.",2 - Solid 7DRL entry. A couple of interesting mechanics put together with a decent amount of polish.,"1 - Not really a roguelike to me, seems more puzzley. Tempted to give a 2 but I it lacks many of the vital ""roguelike"" ingredients. However, it does have some important ones such as resource management and tactical terrain usage. Maybe a 1.5!","Possibly the best-named game this year... in SUN CRUSHER you are a lone starship, fighting against hostile enemies in a hostile environment. Planets, asteroids, and stars all rotate at the end of each turn, opening and closing paths to your enemies. This is very tactically interesting, although it doesn't quite convey the roguelike-y ""feel"" to me. As the name implies, crushing suns is indeed part of the game, and you are required to manage these devastating resources quite carefully. Worth checking out for the cool level-rotation mechanic. Would love to see more roguelikes with moving terrain!"
Steel Knights,Anonymous,"3 - Three complete story arcs, plenty of weapons, armor and enemies, probably the most ""complete"" game of this contest","3 - Great tiles, only complaint about the controls is that 'g' should be pickup as well.","3 - I got the the second to last level of 32 levels, died and then started it up again. It that's a heck of a game to get me to pick it back up at that point.","2 - Really wanted to give this a 3 for the story and the ""hub"" mechanic, both that are done very well, but nothing about the gameplay is too surprising.","3 - Would have given it a 4 if it were possible. excellent story, clean gameplay, tons of content.",3 - All the standard features present and most of the optional ones.,"Definitely one of the top entries this year, comes with 3 distinct missions that you deploy to from a central hub. Each could have been a 7DRL entry in it's own right. But what really makes this game stand out is the story, not a lot of 7DRL developers put as much effort into the story as in Steel Knights. I am judging this on 3/29 and the game is an online app, so it is possible that the dev has improved it since, but high scores on the online leaderboard go back to the original release date, so I'm giving them the benefit of the doubt."
Steel Knights,Anonymous,3 - Polished. Found one bug that killed me. Be wary of evac packs on hub level.,2 - Key layout takes some time to get used to. No way to get manual from game?,3 - Good old hack and slash all the way.,1 - What innovation? There is core color system but it could be relabeled to work in elemental fashion.,3 - Three locations? A lot really. Plus it has plot.,3 - Of course.,Pretty standard roguelike but this one is well done. Small selection of guns to which you need conserve ammo for. Do not go for middle mission. It is most difficult.
Steel Knights,Anonymous,3 - Seems fully complete and is very polished.,"2 - Visually very pleasing but some controls are annoying (only supports , for pickup, no ? for help) Otherwise controls are great.",3 - Tons of fun. Played for an hour straight without even realizing!,"2 - Nothing super-innovative, but the hub system is interesting and the different weapon styles (esp. the carbine) is innovative enough for a 2. Wasn't able to get into the 'cores' system.","3 - Big scope for a 7DRL. Lots of 7DRLs have deep level structures but rarely are they filled with so much ""stuff"". Story shows a lot of effort.",3 - Definitely a roguelike.,"A surprisingly deep and polished game. Pure roguelikey goodness with some interesting tactical decisions coming from weapon/ammo selection. Graphically it looks great, and runs in a browser via java (+1 for browser!). Levels are varied (3 separate 'branches') and well-populated with knick knacks, scenery, NPCs, etc. Two things that took a while to figure out: 1) don't go to the middle mission first (reading the story helps!), and 2) finding ammo in the beginning is super-critical, starting with the ""gunner"" class helps immensely. One of my favorites from the challenge so far."
Wyrm,Anonymous,2 - Complete with win and fail conditions,"2 - Black text on white background visually vanishes, making the messages not be noticed by me.  Being hit by enemies is not readily apparent, leading me to wonder for a long time why I'd die before running out of energy.  Double prints output on victory.  Main display is pleasant colours, and the bar graphs are an excellent feature.  But some flash on hit would help immensely.","2 - Some what hard to judge as my laptop refused to enter any non-cursor keys (fault of java, not the game!), so I couldn't wait.  But definitely a good attempt at balancing the health, energy, and also tail constraints in planning ones motion.","2 - Excellent melding of snake and roguelike gameplay.  Could have used more work on the terrain and monster behaviour, however, to tighten the play.  The initial room is just too big to quickly grok.",2 - The right level of scope for a reasonable 7DRL,"2 - Very much a roguelike-like, as it could just as easily have been a snake-like.  The very shallow combat mechanics is what causese me to not call it a roguelike","What happens when Snake is crossed with Rogue, you get Wyrm!  An excellent attempt at this hybrid design."
Locks,Anonymous,"3 - Complete and a lot of work went into polish of menus, etc.  High score has bugged graphics for name input for me, however (Windows XP)  Saving and loading seems to not actually save your level, which was a surprise to me.","2 - A beautiful looking game with nice animation, sound effects, and music.  So why not three?  Controls.  No key repeat, so a shift run, but the shift run stops for closed doors, but not open doors.  Hard to tell locked doors from unlocked doors short of opening them.  Using mouse for combat painful, especially as I have to keep retargeting if enemies advance. ","1 - With the title locks and all the keys I hoped for some form of topological key unlock puzzle.  But I never was short of keys, or even cared if doors were locked or not.  Omni-direction ranged combat in open areas just becomes a clickfest.  This is worsened by the combat model which is based on whiffing all the time - the constant miss, miss, miss grows frustrating and also means I can't predict at all how many shots it will take.  If you need run movement and e for explore, it is a sign you should likely fix something else - like auto explore?  Targeting has to feel more fluid, as does movement, and definitely the open rooms have to be broken up as ranged combat on open ground is simplistic.",1 - Ranged combat heavy roguelike.  Unfortunately the potentially innovative bits couldn't rise to the forefront in my playing.,"2 - Very impressive scope in art and feel.  But in terms of gameplay, very minor scope.",3 - @ on map with ranged weapons.,"Locks is a beautiful small tile roguelike with excellent animations, sounds, and music track.  (But as I like NIN, I may be biased on the last)  It is well worth playing to experience this, even if the gameplay is unlikely to hold your attention long."
LinLem's Vague Adventure Roguelike,Anonymous,1 - Randomly moves may take several seconds to execute. Has hardly any features. Does not come with binary and requires certain degree of expertise to compile.,"1 - I am a fan of vi keys but not supporting numpad, arrows or even number row is simply evil. Moreover the about file omits the key to pick up items. Game overuses color. Map display looks like angry fruit salad.",1 - A waste of time. First time I was unable to hit rats at all. Another character was killing them all in one hit.,1 - Nothing.,1 - Less than bare bones roguelike.,1 - Lack of essential RL features.,This entry should not have been called a success.
Sword in Hand,Anonymous,"3 - Fully polished, fairly balanced, bug-free in my experience","3 - No less than I would expect from Jeff.  Good colour choices, simple key layout, well laid out interface, and the blood on the sword is a cool effect.","2 - The moves are interesting, but there is little one can do tactically to set them up.  The strategic map element is not very compelling.  There's not quite enough depth of the gameplay to keep it interesting through more than one playthrough.","2 - The moves are something new as is the map thing, but I think there's some elements missing in the implementation to really make the gameplay truly innovative.  Still nice to see these touches though.","2 - Very much the high end of 2, but in many ways this feels like a restricted version of Vicious Orcs.  Perhaps Jeff sets too high an expectation... ;)",3 - True and true.,"Sword in Hand lets you play a sword, with no interest in petty items or the affairs of humans beyond an excuse to taste blood.  The game involves going through a few dungeons by picking up quests, and watching the effects ripple across a large map of army interactions.  I found the quest choosing system a little repetitive and uninteresting, but the flavour is very good.  The basic combat is interesting in trying to profit in blood gathering from enemies, and the combat is nicely deterministic, though it doesn't quite retain its interest across multiple playthroughs."
Zaga-33,Anonymous,"3 - Polished, balanced, bug-free, lovely!","3 - Pretty pixel graphics add good charm to the game, on top of simple and easy controls and a clear interface.  Even the level transition screens are compelling and the game over screen makes you just want to play more.","3 - Inherently replayable.  I don't think there's an end to the game, but it has an arcade feel of wanting to keep on replaying to see how much further you can get.  Gameplay is tight, with deterministic moves and some interesting special items to spice things up.  Simple yet fun.","1 - Not really anything new here, just a well-down and polished game.",2 - Precisely what you want from a 7DRL.  Seems wrong to score it less than the maximum for doing the perfect thing!,"3 - Core elements of procedural content, permadeath and turn-based.","A simple game with charming graphics and basic but fun gameplay.  You must traverse levels to get as far as you can, avoiding or killing enemies and collecting power ups / special items.  There's no progression system, so simply avoiding enemies is often best, and with no FOV and small maps there is a puzzle feel to it.  The procedural nature keeps it fresh though, and the straightforward challenge of reaching higher levels will keep you playing much more than most other 7DRLs."
Kitchen Masters,Anonymous,2 - Lacking balance but seems stable,"2 - Some bad colour choices, and annoyingly requires mouse for seeing recipe effects, but basic controls are fine.","2 - A bit too easy, and levels are too big, so you end up dying from holding directions too long.  Game needs more incentive to use recipes more often.","2 - The recipes as powers are great, and though the effects aren't entirely new the implementation is very interesting.","2 - With more involved gameplay this might hit a 3, since the amount of text and attention to theme is really impressive.  Everything has an interesting and oft humorous description.","3 - Random levels, turn-based permadeath.","In Kitchen Master you must work your way up from being a dishwasher to a master chef, starting with simple recipes and spatulas and working your way up to razor-sharp cheese graters and deadly curries.  Enemies drop ingredients when killed and they can be combined to produce interesting effects.  Gameplay is mostly very basic, but the coherent theme and attention to detail is really impressive."
Nightfall,Anonymous,"3 - Very complete and polished.  Had it freeze on me a few times, but that could be to do with my system.","3 - Pretty graphics, simple controls, nice auto-equip system.","2 - It ends up being a bit one-dimensional with running from the darkness being a far greater focus than item use or combat with enemies.  One feels very immobile, not able to tactically position yourself well, with few options available in the limited time/turns you have to act.",2 - Cool way of doing the hunger clock and thematically forcing it on the player.,2 - Simple game done well.,"3 - Permadeath, turn-based (though with the option of a real time mechanic).  Random levels, but it ends up not feeling all that random as you take a linear path through quite repetitive terrain.  Still has a roguelike feel though.","The night is descending upon you, run!  Though there are many enemy types and items the focus of the game is entirely on running away from the descending shadow of night, with everything else becoming a brief obstacle.  Though done well I found it a little too simplistic for repeated plays.  The hard mode (which makes the nightfall move in real time) adds a surprisingly nice spice to the game."
Roadlike,Anonymous,1 - There is nothing to it.,"2 - Uses Oryx tiles, so it at least looks pretty.  Perhaps giving points for using someone else's art is a bit too generous of me, so I shall not be generous with the other score points.",1 - Pathetic.  I don't know why anyone would spend more than a few seconds on this.,1 - To have innovative gameplay it must have some gameplay to begin with.  This is to gaming as chewing gum is to cuisine.,"1 - The designer set his sights low, and achieved it.","1 - Procedural environments?  No, it has no environments.  Permadeath?  Nope, you can't die.  Not turn-based, zero tactical decisions, no emergent complexity... oh and it's not really much of a game either.","It really is beyond me why some people join the challenge to make something which clearly has not one iota of resemblance to a roguelike...  In this game you hold the right key to make some sprites die.  Might have its place in a 1 hour indie game jam, but to label this a seven day roguelike is pretty insulting to many of the great games that have been made."
Me Against the Mutants,Anonymous,3 - Seems polished and bug free,"2 - Very pretty game, but the inventory controls are fiddly (why couldn't each item type be set to a certain hotkey?) and using the mouse for the loop creation is annoying when you accidentally select the wrong tile.  This wouldn't be such a problem when turn-based, but it's aggravating when real-time and relying on the right move in the midst of combat.","1 - I dislike the real time aspect.  The infinity system is very interesting, but the rest of the game is actually aggravating.  It's far too fast-paced for the style of play the loop system demands.","3 - Creating looping infinities is awesome.  Why couldn't this be on a turn-based game?!  Would have a much more thoughtful, puzzle-esque feel then.","2 - Not much variety in enemy type, but the one ""gimmick"" it has is done very well.",2 - If it were turn-based I'd give it a 3.  As it stands it feels too fast-paced and arcadey.,"In this game you must draw squares to create a repeating pattern, and this is the main way of getting through walls as you can make a loop that lets you move from above to below (er, bad description - play the game to see what I mean).  This can create some awesome looking effects, as you end up seeing yourself across the loop and walking through what looks like a giant hall of mirrors, dozens of yourself marching across the screen in repeat.  Such a cool concept!  Alas that the devs threw in a real-time combat system that leaves you blindly bumping into enemies, trying to remember now and then the right key press for a heal item, or clicking wildly on the screen to get a loop set up in the right place.  I feel like the whole game would be better simply without any enemies, where you just gather the items needed to deconstruct the infinity bits, letting you enjoy the one cool and innovative mechanic the game has."
Dark Valhalla,Anonymous,1 - Basically unplayable in its current form. The manual is unclear and combat is very lethal.,"2 - Manual is presented well, some silly typos. The game map as it is formed is fine. Would have been better with a character sheet.",1 - Currently it takes longer to set up a game than it does to play it.,3 - This is basically a single player tabletop RPG Roguelike. Can't say I've ever played on before.,2 - A lot of thought an effort when into this and a lot of work was completed. Too bad it isn't quite balanced.,"2 - Has procedural content, inventory management, some turn-based aspects, but how combat arises (monster popup en masse) and how items are found is very different.","This is a playing card-based game with a lot of promise that suffers from lack of play testing. The game is styled after Quake and uses a deck of playing cards to procedurally generate the levels. Unfortunately, the manual isn't very clear and the developer never met a die mechanic he didn't like. This one has promise but it needs balancing and some serious focus on the die mechanics."
Smooth Rogue,Anonymous,"3 - While I have not completed it, it does promise a final level.  Polished and bug free.","2 - Very well done 3d graphics that all complement each other, no mysterious mix of high res and low res objects.  I really like this sort of cohesive balance.  Control system is very intuitive, and I definitely felt free to switch between turn and continuous play without any mode change.  Blood damage shows up in the wrong spot on occasion.  I'm still not sure of the attack button - how much time it takes or what direction, as I ended up spamming it for encounters.  Wins the ""Most Phallic"" roguelike.  If you want it played with a straight face, at least use a disconnected different coloured arrow rather than a slowly engorging red shaft to show the direction.  As far as I could tell I had to quit the program and restart to restart, which is a pain with the unity load time (Actually, a pain in general)","2 - The smooth gameplay made things quite enjoyable. As you build more treasures it does get easier, and you also get more interesting tactics open up.  Not a huge long term interest, but keeps one interested.",2 - Hybrid realtime/turn based systems are very difficult. Probably the most seamless one I've played.,1 - In terms of gameplay it is an @ on a map.,"3 - Hits all the points of rogue, and the seamless pausing really ensures movement remains tactical, not action based.  (Though my space bar may disagree)","Smooth Rogue presents an attempt to solve the hybridization of turn based and real time movement.  Usually, one mode or the other dominates in the hybrid, resulting in quantized movement or in having to spam space to pause (a la never winter nights)  Smooth Rogue successfully implements a new area, where momentum is conserved but you can always pause by merely not doing anything. The result is surprisingly intuitive, at least for movement.  The jury is still out for more complicated actions."
2149RL,Anonymous,"1 - While it does play and run on my Alcatel One 980 (Android 2.2) with QVGA screen, little things like buttons not working yet and enemies not fighting really mean it is incomplete.","1 - The art work is nice and well balanced.  I actually disagree with the author - the different colour green for the doors was a feature for me (though I suspect it is sRGB problems causing the gamma shift).  The low mark is because, as nicely done as the buttons are, on screen arrow keys for a phone roguelike?  You are designing from the ground up with no excuse of previous hardware to hold you down.  Something as trivial as tap to move is less effort to implement and way more intuitive.  (Not to mention said arrow keys are right over the capacitance hardware buttons for my phone so just causing problems)","1 - @ on a map does not hold ones attention for long.  I find it curious there is no enemy combat - pathfinding seems to have been done *before* the combat, I'd have done it the other way.  If you run out of time with stupid enemies, it is better than running out of time with broken enemies.",1 - I do like the level generation into sort of out door and indoor regions.,"2 - While gameplay there is @ on a map, there is an interesting level design, and interesting art.",1 - Without an actual game component this cannot be judged,"2149RL is, as the author admits, a questionable success in this challenge.  That said, I like the author's art work and wish that a rudimentary game had been prioritized above artwork or features like path finding or los."
Beyond the Light,Anonymous,"3 - Feels like a completed, if small, game.","2 - Good ideas for how to use light and darkness. The sound effect mechanic, where a distant enemy's position is revealed by a scary noise, was well done. One problem is the use of the mouse to identify things- having to switch between keyboard and mouse for a single task is irritating,","1 - Not much to do other than get chased by monsters. The stealth element of the game seemed fairly shallow. Insanity, instead of raising the tension, is just annoying.",2 - Interesting use of regular roguelike mechanics. With a bit more work this game could be something really interesting.,"2 - Fairly small scope, but it has everything it needs.","3 - Definitely a roguelike. Could maybe be retitled ""Ran out of Phase Door, The Game!"".","Beyond the Light is an attempt to make a scary roguelike. It does succeed at creating a spooky atmosphere, but the gameplay doesn't yet live up to the haunted house premise."
"I rule, you rule, we all rule old-school Hyrule",Anonymous,"3 - a complete game, didn't encounter any serious bugs",3 - very nice ascii graphics with pleasing colors. Controls are very easy to understand and work perfectly.,2 - the slow moving projectiles work very nicely in this zelda-meets-roguelike. I also enjoyed the different items at my disposal.,2 - I think the main innovation is in the control scheme and the slow moving ranged weapons. Pretty nice experiment in the rl basis.,"2 - as far as i can tell this is a complete game & focused, and feels more polished than many non-7drls. The scope is about what I'd expect of a good 7drl.",3 - as roguelike as it can be.,
Jelly,Anonymous,1 - there isn't much to do except wack jellies.,3 - nice pixel art graphics and animations.,1 - could be great fun if it had more substance. ,1 - rogue with only mellee attacks,1 - the game is really incomplete and doesn't give us much to play with.,2 - it is a roguelike in the most atomic way but lacks interesting choices that define the genre.,
The Challenge!,Anonymous,"2 - Lacks diagonal movement (from the RogueTemple discussion I see this is unintended). Stats max out early, making some items useless.","1 - A typical roguelike look. A very nice ranged attack animation, but I don't think it is enough for a bonus point.","2 - If you like the theme, then you should play it. But not very replayable.","2 - The game has an original theme, and a focus on a hard time limit. I think this is enough for a 2. The theme could lead to an innovative game in the future, though.",2 - Could be developed more.,3 - Yes.,"This game has a theme of writing your own roguelike, and as such, I recommend it for all programmers to try.  I think this theme has much potential, given how many roguelike fans are apparently programmers. But  'The Challenge' does not use this potential. We get a fairly traditional roguelike, while its abstract theme definitely allows for more originality. You have a hard time limit, which would not work very well in a big roguelike, but here, since the game is so small, achieving the balance between finishing on time and getting points could be interesting. Sadly, in the current version, IMO there are not that many interesting things to play it again and again until you have found the perfect balance. I have answered 2 to most questions, which means that the game is solid in most aspects, although there is nothing really groundbreaking: recommended to try, but probably not very replayable."
